time,h,der(h),v,der(v),e
0.00000,1.000000000000000,0.000000000000000,0.000000000000000,-9.810000000000000,0.7000000000000000
0.0100000,1.000000000000000,-0.09810000000000000,-0.09810000000000000,-9.810000000000000,0.7000000000000000
0.0200000,0.9990190000000000,-0.1962000000000000,-0.1962000000000000,-9.810000000000000,0.7000000000000000
0.0300000,0.9970570000000000,-0.2943000000000000,-0.2943000000000000,-9.810000000000000,0.7000000000000000
0.0400000,0.9941139999999999,-0.3924000000000000,-0.3924000000000000,-9.810000000000000,0.7000000000000000
0.0500000,0.9901899999999999,-0.4905000000000001,-0.4905000000000001,-9.810000000000000,0.7000000000000000
0.0600000,0.9852849999999999,-0.5886000000000000,-0.5886000000000000,-9.810000000000000,0.7000000000000000
0.0700000,0.9793989999999999,-0.6867000000000001,-0.6867000000000001,-9.810000000000000,0.7000000000000000
0.0800000,0.9725320000000000,-0.7848000000000000,-0.7848000000000000,-9.810000000000000,0.7000000000000000
0.0900000,0.9646840000000000,-0.8829000000000000,-0.8829000000000000,-9.810000000000000,0.7000000000000000
0.100000,0.9558550000000000,-0.9810000000000000,-0.9810000000000000,-9.810000000000000,0.7000000000000000
0.110000,0.9460450000000000,-1.079100000000000,-1.079100000000000,-9.810000000000000,0.7000000000000000
0.120000,0.9352540000000000,-1.177200000000000,-1.177200000000000,-9.810000000000000,0.7000000000000000
0.130000,0.9234820000000000,-1.275300000000000,-1.275300000000000,-9.810000000000000,0.7000000000000000
0.140000,0.9107290000000000,-1.373400000000000,-1.373400000000000,-9.810000000000000,0.7000000000000000
0.150000,0.8969950000000000,-1.471500000000000,-1.471500000000000,-9.810000000000000,0.7000000000000000
0.160000,0.8822800000000000,-1.569600000000000,-1.569600000000000,-9.810000000000000,0.7000000000000000
0.170000,0.8665839999999999,-1.667700000000000,-1.667700000000000,-9.810000000000000,0.7000000000000000
0.180000,0.8499069999999999,-1.765800000000000,-1.765800000000000,-9.810000000000000,0.7000000000000000
0.190000,0.8322489999999998,-1.863900000000000,-1.863900000000000,-9.810000000000000,0.7000000000000000
0.200000,0.8136099999999997,-1.962000000000000,-1.962000000000000,-9.810000000000000,0.7000000000000000
0.210000,0.7939899999999998,-2.060100000000000,-2.060100000000000,-9.810000000000000,0.7000000000000000
0.220000,0.7733889999999998,-2.158200000000000,-2.158200000000000,-9.810000000000000,0.7000000000000000
0.230000,0.7518069999999998,-2.256300000000000,-2.256300000000000,-9.810000000000000,0.7000000000000000
0.240000,0.7292439999999998,-2.354400000000001,-2.354400000000001,-9.810000000000000,0.7000000000000000
0.250000,0.7056999999999998,-2.452500000000000,-2.452500000000000,-9.810000000000000,0.7000000000000000
0.260000,0.6811749999999998,-2.550600000000000,-2.550600000000000,-9.810000000000000,0.7000000000000000
0.270000,0.6556689999999997,-2.648700000000000,-2.648700000000000,-9.810000000000000,0.7000000000000000
0.280000,0.6291819999999997,-2.746800000000000,-2.746800000000000,-9.810000000000000,0.7000000000000000
0.290000,0.6017139999999996,-2.844900000000000,-2.844900000000000,-9.810000000000000,0.7000000000000000
0.300000,0.5732649999999996,-2.943000000000001,-2.943000000000001,-9.810000000000000,0.7000000000000000
0.310000,0.5438349999999995,-3.041100000000001,-3.041100000000001,-9.810000000000000,0.7000000000000000
0.320000,0.5134239999999994,-3.139200000000001,-3.139200000000001,-9.810000000000000,0.7000000000000000
0.330000,0.4820319999999994,-3.237300000000001,-3.237300000000001,-9.810000000000000,0.7000000000000000
0.340000,0.4496589999999994,-3.335400000000001,-3.335400000000001,-9.810000000000000,0.7000000000000000
0.350000,0.4163049999999993,-3.433500000000001,-3.433500000000001,-9.810000000000000,0.7000000000000000
0.360000,0.3819699999999993,-3.531600000000001,-3.531600000000001,-9.810000000000000,0.7000000000000000
0.370000,0.3466539999999992,-3.629700000000001,-3.629700000000001,-9.810000000000000,0.7000000000000000
0.380000,0.3103569999999992,-3.727800000000001,-3.727800000000001,-9.810000000000000,0.7000000000000000
0.390000,0.2730789999999992,-3.825900000000001,-3.825900000000001,-9.810000000000000,0.7000000000000000
0.400000,0.2348199999999991,-3.924000000000001,-3.924000000000001,-9.810000000000000,0.7000000000000000
0.410000,0.1955799999999991,-4.022100000000002,-4.022100000000002,-9.810000000000000,0.7000000000000000
0.420000,0.1553589999999990,-4.120200000000002,-4.120200000000002,-9.810000000000000,0.7000000000000000
0.430000,0.1141569999999990,-4.218300000000003,-4.218300000000003,-9.810000000000000,0.7000000000000000
0.440000,0.07197399999999890,-4.316400000000003,-4.316400000000003,-9.810000000000000,0.7000000000000000
0.450000,0.02880999999999883,-4.414500000000004,-4.414500000000004,-9.810000000000000,0.7000000000000000
0.460000,-0.01533500000000125,3.158820000000003,3.158820000000003,-9.810000000000000,0.7000000000000000
0.470000,0.01625319999999881,3.060720000000003,3.060720000000003,-9.810000000000000,0.7000000000000000
0.480000,0.04686039999999887,2.962620000000003,2.962620000000003,-9.810000000000000,0.7000000000000000
0.490000,0.07648659999999892,2.864520000000003,2.864520000000003,-9.810000000000000,0.7000000000000000
0.500000,0.1051317999999988,2.766420000000003,2.766420000000003,-9.810000000000000,0.7000000000000000
0.510000,0.1327959999999989,2.668320000000003,2.668320000000003,-9.810000000000000,0.7000000000000000
0.520000,0.1594791999999989,2.570220000000003,2.570220000000003,-9.810000000000000,0.7000000000000000
0.530000,0.1851813999999990,2.472120000000003,2.472120000000003,-9.810000000000000,0.7000000000000000
0.540000,0.2099025999999990,2.374020000000003,2.374020000000003,-9.810000000000000,0.7000000000000000
0.550000,0.2336427999999991,2.275920000000003,2.275920000000003,-9.810000000000000,0.7000000000000000
0.560000,0.2564019999999991,2.177820000000003,2.177820000000003,-9.810000000000000,0.7000000000000000
0.570000,0.2781801999999992,2.079720000000003,2.079720000000003,-9.810000000000000,0.7000000000000000
0.580000,0.2989773999999992,1.981620000000003,1.981620000000003,-9.810000000000000,0.7000000000000000
0.590000,0.3187935999999993,1.883520000000003,1.883520000000003,-9.810000000000000,0.7000000000000000
0.600000,0.3376287999999993,1.785420000000002,1.785420000000002,-9.810000000000000,0.7000000000000000
0.610000,0.3554829999999994,1.687320000000002,1.687320000000002,-9.810000000000000,0.7000000000000000
