time,_block_jacobian_check,_block_jacobian_check_tol,_block_solver_experimental_mode,_cs_rel_tol,_cs_solver,_cs_step_size,_enforce_bounds,_events_default_tol,_events_tol_factor,_iteration_variable_scaling,_log_level,_nle_brent_ignore_error,_nle_solver_check_jac_cond,_nle_solver_default_tol,_nle_solver_max_iter,_nle_solver_max_residual_scaling_factor,_nle_solver_min_residual_scaling_factor,_nle_solver_min_tol,_nle_solver_regularization_tolerance,_nle_solver_step_limit_factor,_nle_solver_tol_factor,_rescale_after_singular_jac,_rescale_each_step,_residual_equation_scaling,_runtime_log_to_file,_use_Brent_in_1d,_use_jacobian_equilibration,_use_newton_for_brent,c,event,g,h,der(h),temp_1,temp_2,v,der(v)
0.00000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,10.00000000000000,0.000000000000000,false,true,0.000000000000000,-9.820000000000000
0.0100000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.999508488009873,-0.09820000000000009,false,true,-0.09820000000000009,-9.820000000000000
0.0200000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.998035263501414,-0.1964000000000001,false,true,-0.1964000000000001,-9.820000000000000
0.0300000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.995580188665262,-0.2946000000000002,false,true,-0.2946000000000002,-9.820000000000000
0.0400000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.992143163719877,-0.3928000000000002,false,true,-0.3928000000000002,-9.820000000000000
0.0500000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.987724155404749,-0.4910000000000002,false,true,-0.4910000000000002,-9.820000000000000
0.0600000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.982323152633038,-0.5892000000000002,false,true,-0.5892000000000002,-9.820000000000000
0.0700000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.975940151709134,-0.6874000000000001,false,true,-0.6874000000000001,-9.820000000000000
0.0800000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.968575151401165,-0.7856000000000001,false,true,-0.7856000000000001,-9.820000000000000
0.0900000,false,1.000000000000000e-06,0,1.000000000000000e-06,0,0.001000000000000000,true,1.000000000000000e-10,0.0001000000000000000,1,3,false,false,1.000000000000000e-10,100,10000000000.00000,1.000000000000000e-10,1.000000000000000e-12,-1.000000000000000,10.00000000000000,0.0001000000000000000,true,false,1,false,true,false,true,0.9000000000000000,false,9.820000000000000,9.960228151298509,-0.8838000000000000,false,true,-0.8838000000000000,-9.820000000000000
